wbrs_description,score,threat_mnemonic,threat_description
ThreatGRID Modified Hosts DNS,-3,mali,Malicious Sites
ThreatGRID Parked DNS,-3,risk,High Risk Sites and Locations
ThreatGRID Public IP Check DNS,-3,mali,Malicious Sites
ThreatGRID Ransomware DNS,-3,mals,Malware Sites
ThreatGRID RAT DNS,-3,mals,Malware Sites
ThreatGRID Sinkholed IP DNS,-3,ioc,Indicators of Compromise (IOC)
ThreatGRID Stolen Cert DNS,-3,ioc,Indicators of Compromise (IOC)
ThreatGRID Banking DNS IP,-3,mali,Malicious Sites
ThreatGRID DGA DNS IP,-3,dga,Domain Generated Algorithm
ThreatGRID DLL Hijacking DNS IP,-3,mals,Malware Sites
ThreatGRID Doc Net Com DNS IP,-3,mali,Malicious Sites
ThreatGRID Downloaded PE DNS IP,-3,mals,Malware Sites
ThreatGRID Dynamic DNS IP,-3,ddns,Dynamic DNS
ThreatGRID IRC DNS IP,-3,mali,Malicious Sites
ThreatGRID Modified Hosts DNS IP,-3,mali,Malicious Sites
ThreatGRID Parked DNS IP,-3,risk,High Risk Sites and Locations
ThreatGRID Public IP Check DNS IP,-3,mali,Malicious Sites
ThreatGRID Ransomware DNS IP,-3,mals,Malware Sites
ThreatGRID RAT DNS IP,-3,mals,Malware Sites
ThreatGRID Sinkholed IP DNS IP,-3,ioc,Indicators of Compromise (IOC)
ThreatGRID Stolen Cert DNS IP,-3,ioc,Indicators of Compromise (IOC)
Abuse.ch Ransomware domain blacklist,-3,mals,Malware Sites
Abuse.ch Ransomware URL blacklist,-3,mals,Malware Sites
Clean URIs from Alexa top 1 million list,-3,NULL,NULL
Safe OpenDNS verdicts from CWS telemetry,-3,NULL,NULL
DomainTools Blacklist feed,-3,NULL,NULL
DomainTools Reputation feed,-3,NULL,NULL
Domain tools reputation score low,-3,mals,Malware Sites
Domain tools reputation score medium,-3,mals,Malware Sites
Feed for current hailstorm domains,-3,spam,Spam
Seclytics determined malicious,-3,mals,Malware Sites
Sophos S4 command and control,-3,bots,Botnets
Sophos S4 malware/infected sites,-3,mals,Malware Sites
Sophos S4 phishing,-3,phsh,Phishing
Umbrella IntelDB malware,-3,mals,Malware Sites
Low-weight manual blacklist,-2.5,mals,Malware Sites
Abuse.ch Ransomware IP blacklist,-2.4,mals,Malware Sites
Predictive feed for hailstorm domains,-2.4,spam,Spam
APWG Low confidence,-1,phsh,Phishing
Malware Block List Regular,-0.9,mals,Malware Sites
Low-weight manual whitelist,2.5,NULL,NULL
TRUSTe Site Seal,3,NULL,NULL
Alexa Top 500 sites,4,NULL,NULL
del.icio.us,4.7,NULL,NULL
Content Scan Domain Whitelist,5,NULL,NULL
SURBL Whitelist,5,NULL,NULL
Verisign Verified Domains,5,NULL,NULL
Medium-weight manual whitelist,5.5,NULL,NULL
Manual CIDR WL,8,NULL,NULL
Heavy-weight manual whitelist,9.5,NULL,NULL
Beaker Dynamic Rules Library support,10,NULL,NULL
Test Category 3,10,NULL,NULL
Adult,10,NULL,NULL
Advertisements,10,NULL,NULL
Alcohol,10,NULL,NULL
Arts,10,NULL,NULL
Astrology,10,NULL,NULL
Auctions,10,NULL,NULL
Streaming Audio,10,NULL,NULL
Business and Industry,10,NULL,NULL
Digital Postcards,10,NULL,NULL
Mobile Phones,10,NULL,NULL
Chat and Instant Messaging,10,NULL,NULL
Online Communities,10,NULL,NULL
Computers and Internet,10,NULL,NULL
Child Abuse Content,10,NULL,NULL
Computer Security,10,NULL,NULL
Dating,10,NULL,NULL
DIY Projects,10,NULL,NULL
Illegal Drugs,10,NULL,NULL
Dynamic and Residential,10,NULL,NULL
Education,10,NULL,NULL
Entertainment,10,NULL,NULL
Extreme,10,NULL,NULL
Fashion,10,NULL,NULL
Filter Avoidance,10,NULL,NULL
Finance,10,NULL,NULL
Dining and Drinking,10,NULL,NULL
Freeware and Shareware,10,NULL,NULL
File Transfer Services,10,NULL,NULL
Gambling,10,NULL,NULL
Games,10,NULL,NULL
Government and Law,10,NULL,NULL
